filename,top,Text
s33,6183,18. Ono Y (1992) Transformation of lower alkanes into aromatichydrocarbons over ZSM-5 zeolites [J]. Catal Rev 34(3):179–22619. Abramova AV (2010) Synthesis of ethylene and propylene on a Ind
s34,2284,Table 1
s34,5312,14. Zhou T-N et al (2010) Effect of phosphorus content on the activephase structure of NiMo/Al2O3 catalyst. Ranliao Huaxue Xuebao38:69–74 (Copyright(C) 2013 American Chemical Society(ACS). All Rights Reserved)
s35,5215,Boiler fan oil pump
s35,5318,Charge gas compressor turbineCooling compressor propene turbine
s37,1791,Table 2 Ratio of products in the presence of SBA-Pr-NH (Method B)
s37,1806,Method B
s37,2632,"Table 4 Efﬁciency comparison of various catalysts in synthesis of 2-aryloxazolo[4,5- ]pyridines"
s37,4904,46
s39,1150,References
s41,3824,Table 3
s42,5200,Features Recall (%) F‑value Precision(%) F‑valuechange(%)
s42,5209,(%)
s42,5211,Named entity Precision Recall F‑score
s42,5306,6 ‑ Statistical 53.29 41.74 46.82 10.69
s42,5311,−
s42,5318,7 ‑ #1 ~ #8 62.54 50.75 56.03 1.48
s42,5323,−
s42,5692,Precision Recall F‑score Precision Recall F‑score
s42,9424,accurate drug‑side‑effect association knowledge base from biomedicalliterature. J Biomed Info 51:191–199
s43,5213,"9. Maiti, S., Perumal, P.T., Menendez, J.C.: CAN-promoted,diastereoselective synthesis of fused 2,3-dihydrofurans and their 66 ,transformation9512–9518 (2010)"
s43,5312,"29. Jung, J.Y., Kim, J.B., Taher, A., Jin, M.J.: Pd(OAc) immobilizedon Fe O as magnetically separable heterogeneous catalyst forreaction in water. Bull. Korean Chem. Soc. ,Suzuki3082–3084 (2009)"
s43,5322,"12. Rajesh, S.M., Perumal, S., Menendez, J.C., Pandian, S.,Murugesan, R.: Facile ionic liquid-mediated, three-componentsequential reactions for the green, regio- and diastereoselectivesynthesis of furocoumarins. Tetrahedron 68 , 5631–5636 (2012)13. Kumar, A., Srivastava, S., Gupta, G.: Cascade [4 ? 1] annulation via more environmentally friendly nitrogen ylides in water:synthesis of bicyclic and tricyclic fused dihydrofurans. GreenChem. 14 , 3269–3272 (2012)"
s43,5492,242 71
s43,5542,27 3
s43,5711,248
s45,5307,US4847265 5 20.0 20.0
s45,5319,US6323216 20 20.0
s45,6192,20 %
s45,6985,60 % 60 %
s46,3941,Fig. 3
s47,3599,O
s47,3605,O
s49,2417,a a
