filename,top,Text
e3,1432,2 Rising importance of CM in the future
e3,2012,3 Framing CM from different views
e3,3910,5 Prerequisites for a lifecycle-oriented CM
e3,4580,6 Conclusion and summary Acknowledgements
e30,3104,"Our dataset consists of 475 annual observations among the NYSEindustrial ﬁrms which are ﬁnancially constrained. We use the divi-dend ratio in order to classify ﬁrms as ﬁnancially constrained or not(see Table 1). We use the Thomson Financial data base to extractinsider transaction for these ﬁrms. Firms with no insider transac-tion availability are excluded. We also exclude ﬁrms that have lessthan ﬁve years. Finally, we exclude ﬁrms with missing data. Bondand Meghir -1994 use similar methodology to test the impact ofﬁnancial constraint on investment cash ﬂow sensitivity."
e31,949,ammonium dihydrogen phosphate (0.5% w v ) solutions wereused as chemical modi ﬁ ers in the Pb determination.
e31,1255,2. Experimental
e31,4067,"Model 4, DD – radial viewing:D ¼ 0.858 (cid:1) 0.853 [ ﬂ ow rate, V6] To verify the quality of the generated models, the calculated and tabulated values were compared (95% of con ﬁ dence) and allmodels were statistically signi ﬁ cant."
e32,2878,ARA-FRU Linear <0.0001 0.5628
e33,1095,"The current situation can be improved by researchers prioritising work on topics which directly impact on decision-making processes; for example focusing research effort on the parameters, timescales, and spatial scales that are mostrelevant to users. Rather than undermining the need for fundamental research, this shift in priority should be seen as anattempt to focus some of the international research effort on user-relevant science (Stokes, 1997). This can in turn help mak-ing some essential observational and modelling activities more visible and attractive to a wider community. In order to beeffective in addressing speciﬁc problems the development of scientiﬁc knowledge needs to become more ﬂexible, iterativeand interactive (Kirchhoff et al., 2013)."
e33,1884,"The unavoidable uncertainty in climate prediction forces climate forecasts to be formulated in a probabilistic way(Tippett and Barnston, 2008). Besides the different aspects associated with forecast accuracy the probabilistic formulationrequires an appropriate assessment of how reliable (i.e., whether the forecast uncertainty estimate is accurate) the forecastsare (Slingo and Palmer, 2011), a concept absolutely fundamental for an appropriate use of the climate information."
e34,1243,Basic writing and presentation
e34,2327,Poor research design and incomplete descriptionof methods
e34,3225,How to craft each section of the manuscript
e34,3741,Methods and results
e34,3796,Theory and grounding of hypotheses
e35,455,coefﬁcient of r = 0.92 were used to elicit data. Data were analyzed using descriptive statis-
e35,467,"tics, Likert-scale, T -test and Factor analysis. Majority (93.4%) of universities’ respondents"
e35,469,Constraining factor
e35,724,1.1. Background of the study
e35,1006,1.2. Objectives of the study
e35,1887,Data presented in Table 1 showed that the mean age of uni-versity respondents was 41 years while that of respondentsin research institutes was 39 years. This implies that respon-dents in the universities were relatively older than respon-dents in the research institutes. Although staff from bothuniversities and research institutes was sufﬁciently youngand active age to face challenges associated with researchactivities. This ﬁnding is consistent with [21] who found thatuniversities staff were older than staff in non-universitybased agricultural research institutes in Nigeria.
e35,3742,0.58 0.327
e35,3772,.567.410 .490.517
e35,3774,0.331
e35,3813,0.655
e35,3814,0.369
e36,474,1 Introduction
e36,1206,3 Algorithm
e36,1445,2 Related work and our contribution
e36,2021,σ σ
e37,504,2
e37,699,"Design thinking operates under several names. In Scandinavia, we sometimes"
e37,963,described the design thinking process as strategic design—the rubric under whichI taught courses at the Oslo Business School and later at the Norwegian Schoolof Management. This is the term that Helsinki Design Lab used in a rich series ofprograms and workshops documented in an open-access library of books and suc-cessful projects.
e37,1028,The design firm most closely identified with design thinking in its current
e37,1107,"4  Maria Camacho, “David Kelley:From Design to Design Thinkingat Stanford and IDEO,” She Ji: TheJournal of Design, Economics, andInnovation 2, no. 1 (2016): 88–101,DOI: https://doi.org/10.1016/j.sheji.2016.01.009."
e37,1209,"6  Jane Webster and Richard T.Watson, “Analyzing the Past toPrepare for the Future: Writinga Literature Review,” MIS Quar-terly 26, no. 2 (2002): xiii-xxiii.Stable URL: http://www.jstor.org/stable/4132319."
e37,1249,"Karin Lindgaard and Heico Wesselius attempt to open that conversation with aconceptual probe that reaches across the boundaries of fields and disciplines to linkdesign, philosophy, and neuroscience."
e37,1353,Another way to think of embodied cognition is to consider the rich tradition
e37,1417,"8  Catharina Blomberg, The Heartof the Warrior: Origins and Reli-gious Background of the SamuraiSystem in Feudal Japan (Sandgate:The Japan Library, 1994)."
e37,1444,"The Book of Five Rings , written in the 1640s by the Japanese warrior-philosopher"
e37,1473,"9  David Lowry, Autumn Lightning: The Education of an AmericanSamurai (Boston: ShambhalaPublications, Inc., 1985)."
e37,1519,"10  Miyamoto Musashi, A Bookof Five Rings: The Classic Guideto Strategy , trans. Victor Harris(Woodstock: The Overlook Press,1974); Miyamoto Musashi, TheBook of Five Rings, Gorin no sho, trans. Nihon Services Corpora-tion: Bradford J. Brown et al. (NewYork: Bantam Books, 1982); Miy-amoto Musashi, The Book of FiveRings (w/ Munenori Kagyu, FamilyTraditions on the Art of War ),trans. Thomas Cleary (Boston &London: Shambhala, 1993)."
e37,1696,76
e37,1831,"The Physical Aspect of the Living Cell . The book has often been criticized as flawed.Even so, Schrödinger pointed to ideas that helped to shape the development ofmodern biology. For example, James Watson and Francis Crick both acknowledgedthe importance of this book on their thinking. Human beings are still trying tounderstand how chemistry operating under physical law gave rise to biology:Schrödinger pointed the way to an important and still incomplete synthesis."
e37,2064,Epistemology and Explanatory Knowledge
e37,2106,"Peter Murphy examines these issues in an article on the epistemologies ofdesign research. In his article, Murphy examines the consequences of three epis-temological traditions: Platonic-Aristotelian, pragmatist, and postmodern."
e37,2145,"Equally important, he explains the necessity of explanation to research.Philosopher and physicist Mario Bunge describes research as a methodicalsearch for knowledge. “Original research,” he writes, “tackles new problems orchecks previous findings. Rigorous research is the mark of science, technology, andthe ‘living’ branches of the humanities. It [research] is typically absent from pseu-doscience and ideology.” For Bunge, exploration, investigation, and inquiry aresynonyms for research. Nevertheless, legitimate forms of exploration and inquirydo not in themselves constitute research if they lack methodics and we fail to sub-stantiate inquiry through explanation."
e37,2563,77
e37,2649,she ji
e37,2696,"Practice creates skill and knowledge for the practitioner. Practicing a skillcreates applicable knowledge. For example, practicing a surgical technique createsknowledge for a surgeon that will benefit patients. When football teams practicetheir passing technique, the team becomes stronger and more skilled."
e37,2723,"21  Karin Lindgaard, “DevelopingWhole New Perspectives: Change,Creativity, and Process Philoso-phy,” She Ji: The Journal of Design,Economics, and Innovation 3, no.2 (2017): 112–16, DOI: https://doi.org/10.1016/j.sheji.2017.10.010."
e37,2748,"Research creates knowledge for the larger community of human beingsbeyond the internal mental or physical world of the individual researcher. When amedical researcher describes the surgical technique through research communica-tion that shows other surgeons how to use the technique, it creates knowledge forall surgeons. As more surgeons learn and apply the technique, it leads to medicalprogress."
e37,2826,"When a football team practices its passing technique, the team becomesstronger and more skilled. When a researcher in athletics examines and developsthe strategy of passing techniques, this changes the culture and repertoire of asport."
e37,2878,"Sharing knowledge that helps others to learn creates progress. Nevertheless,"
e37,2891,"there remains a difference between teaching and research. Research involves exam-ining new problems or inquiring into previous findings. If a bright youngster wereto discover the Pythagorean theorem without having previously studied mathe-matics, this would be a remarkable demonstration of intelligence. Nevertheless, itwould be a form of learning. It would not constitute research to share somethingwith the world that mathematicians knew long before Pythagoras gave his name tothe theorem."
e37,2982,"In many cases, original research builds on earlier work. While the earlier foun-"
e37,2995,"dations are not original, examining well known findings to frame them in a newperspective may be original and even revolutionary. One of the best known andmost dramatic examples is a 1905 article by Albert Einstein on Brownian motionin ."
e37,3229,"The article used established facts that had begun to emerge in the 1820s whenbotanist Robert Brown first observed the phenomenon known as Brownian motion.Beginning with facts known to every working physicist, Einstein convinced mostphysicists that atoms are, indeed, real rather than a mere heuristic convenience.Prior to this article, the issue had been a matter of controversy. What made thearticle so interesting is that Einstein based his revolutionary article on physical andchemical facts that had been observed and described for nearly a century. WhileEinstein received his 1921 Nobel Prize for the photoelectric effect, this paper gave rise to another Nobel Prize in 1926 when Jean Perrin won the prize for experi- mental verification of Einstein’s 1905 article published in 1908. The logical powerof this argument demonstrated the physical reality of atomic theory. Perrin fol-lowed this with experimental poof."
e37,3729,"32  For example, see GeorgeHerbert Mead, Mind, Self, andSociety: The Definitive Edition ,ed. Charles W. Morris (1934;Chicago: The University ofChicago Press, 2015); HerbertBlumer, George Herbert Meadand Human Conduct , ed. ThomasJ. Morrione (Walnut Creek:AltaMira Press, 2004)."
e37,3953,"information that is new to the others with whom we share it. Serious research en-ables others to learn in turn from our questions, our methods, or our conclusions.Research creates knowledge for researchers and information for the field.When other members of the field integrate this information into their knowledge,it becomes the knowledge of the field. In his article, Peter Murphy offers a richoverview of the epistemological challenges of design research, locating them inthree epistemological traditions."
e37,4295,79
e37,6028,81
e39,488,1 Introduction
e39,1026,if else end if end for then
e39,1413,2 Corrections
e4,1363,3. Research approach
e4,1466,2. Related work
e4,2028,4. Towards intelligent and sustainable production at avehicle component provider
e4,3686,5. Discussion and conclusions
e40,2891,ˇ ln y + 12
e41,468,© 2013 Holy Spirit University of Kaslik. Hosting by Elsevier B.V.
e41,1990,4. Discussions of the Results 4.1 The System 4.2 Internal Factors 5. Conclusion
e42,565,1 Introduction
e42,1222,2 Literature Survey
e42,1257,computing.
e42,1734,4 Data Security Challenges
e44,523,Quid est Design Thinking?
e44,628,Design Methods
e44,963,"generating and selecting optimal design solutions.In retrospect, the methods that were suggested andthe community that devised them were referred to as“the design methods movement.” A decade or twolater, it became evident that the high hopes per-taining to design methods had not been met, and theywere rejected in many design disciplines, possiblyexcluding engineering. Design researchers came to be-lieve that before they could impact the way design iscarried out, they must ﬁrst understand in depth howdesigners actually think. At that point, the design pro-cess had stopped being mystiﬁed and, as Lindgaardand Wesselius observed, the then-new ﬁelds of cogni-tive psychology and cognitive science were looked atas facilitating paths into thinking in design. Anotheroften overlooked force that kindled the interest indesign thinking was the impact of the postmodernculture starting in the 1970s. Postmodernists werevery interested in processes of creation—in literature,theater, cinema, art, and design. In architecturaldesign, for example, this was reﬂected in unprece-dented attention to preliminary sketches. Whereassuch sketches used to be discarded after a designsolution was solidiﬁed, and were never published orexhibited, they were henceforth archived and pub-lished in professional magazines and books. Casesin point are the thumbnail sketches made by JamesStirling in the 1970s for three museums in Germany—of which only one was built—that were published inprestigious professional magazines. not include embodiment (see below), metaphor andanalogy acquire a sharper speciﬁcity. Lindgaard andWesselius treat metaphor at length; I would like todraw attention to the twin relationship of analogy,which is at least as prevalent, and most inﬂuential,in design processes in all design domains. I refer toinventive analogies used during design ideation andnot to explanatory analogies. Metaphor may well bemore feeling-based than analogy, which depends onabstraction more than metaphor. But analogy, too,may incorporate interpretations based on feelings.A metaphor is a comparison in which the user"
e44,1353,The failure of the design methods of the 1960s
e44,1496,Mapping involves the transfer of relations from
e44,1695,she ji
e44,1830,"from the source situation. In other words, a rela-tionship between concrete components in the sourcesituation is abstracted, so that when transferred tothe target situation it can lead to a similar relation-ship between completely new and different concretecomponents. This combined transfer and transfor-mation mechanism allows a wide use of domainsas sources, which is why we distinguish betweenwithin-domain and between-domains in analogicalreasoning. As stated, it is possible that because ofthe abstraction and de-abstraction mechanisms inanalogy—which are missing from metaphor—analog-ical reasoning may encompass less feeling than doesmetaphor, where the choice of source is often moti-vated by feeling. However, in the transformationalstep in which components of the target situation areestablished, wherein imagery partakes, feeling maywell play a role. with the rationale for that proposal. No designdecision can be validated without a justiﬁcation and,therefore, proposal and rationale must always bealigned. This is another way of looking at the issue ofgood ﬁt in design. The use of metaphor is an intuitivemanner of seeking a good ﬁt, and analogy solidiﬁesthe rationale because of the structural resemblance toa situation that is already known and trusted in thesource situation."
e44,2092,"Abstraction and transformation help avoid ﬁxation,which often occurs when shallow features are trans-ferred from source to target, as when an analogy is ofsurface quality rather than structural. In analogicalreasoning, a problem solver abstracts relations be-tween concrete components or features in the source,often in a gradual process. In the target situation,the direction of the process is reversed, from a highabstraction to relations among a new set of concretecomponents. A good ﬁt should be attained betweenthe chosen components and the rest of the targetsituation. “Good ﬁt” is a term used by ChristopherAlexander to describe the agreement that must existbetween every single response to a partial problemand the responses to the various other partial prob-lems. This assertion was a consequence of Alexander’sview that to be solved successfully, design problemsmust be decomposed into sub problems that shouldbe solved separately before an integrated overallsolution can be achieved. Therefore, the question ofgood ﬁt among the components is of utmost impor-tance. The iterative nature of design thinking—andthe recommendation of design thinking as a methodto engage in frequent prototyping—is in line withthe notion of achieving good ﬁt among componentsand features. Analogy and imagery go hand in handhere, and as I have stated elsewhere, “we can assumethat over a sufficient number of cycles, enough trans-formations may take place to facilitate a good ﬁt between the components of what is being created.” Sketching is helpful in this process, as I will discussbelow. Iterative cycles in designing ensure that, atevery step, what is being proposed is well matched"
e44,2415,Overt exploratory activity in the context of design
e44,2428,"could range from the building of scale models—suchas prototypes and mockups—to embodying the expe-rience of the user; for example, what one perceives and feels while walking through a building that is modeled through drawings. The term “felt-path” wasused by Schön to refer to the perceptions and ex-periences—including feelings—of a user as he or she"
e44,2696,"mentally wanders through a building when presentedwith its plans, sections, and elevations. Nowadays,this also applies to dynamic digital three-dimensionalsimulations. The user could be anyone, including thedesigner him- or herself; the description sounds like aguided tour of the building. Schön uses the term “spa-tial action language,”—a term I prefer to the currentlypopular term embodiment. Felt-path is akin to “feltmeaning” and “felt sense” as used by Lindgaard andWesselius. It also relates to these authors’ discoursepertaining to mental simulation when thinking ortalking about activity, and the notion of shallow anddeep processing, “suggest[ing] that the level of simula-tion may relate to degrees of ambiguity or uncertaintyin a situation.” Mental simulation/overt exploratoryactivity hinges on the use of intuition, and is a basicbuilding block in the construction of mental modelsthat designers and design teams must constructon the ﬂy to envision the design outcome they areworking to achieve. that have forms and shapes, and tangible propertieslike materials, color, texture, and so on. Therefore,representations in these domains are mostly visual orspatial. In the early, conceptual phases of the designprocess, it is vital for the designer to create quickrepresentations that he or she can react to, and whichmatch the pace of thought. The speediest, most con-venient and cognitively least costly mode of represen-tation is the rapid manual sketch. For experiencedsketchers—who generate sketches without having toevoke rules of production—sketching has many bene-ﬁts that support design thinking. Designers producevarious kinds of sketches—the thinking sketch, whichthe designer scribbles for him or herself as a thinkingaid; the talking sketch, meant for communicationwith others; and the prescriptive sketch, meant as arecord of properties of the designed entity, such asits dimensions. Here I address only the thinkingsketch, which is most relevant to the issue of designthinking from a cognitive point of view."
e44,2956,"The activity of sketching could also be consid- One of the prescribed recommendations ofdesign thinking as a method is the frequent pro-duction of prototypes. In engineering and industrialdesign, this usually means creating a rough, three-di-mensional model—a mockup—with the intention offacilitating feedback and evaluation. However, thephase in which the designer has a sufficiently workedout solution idea that can be physically modeled isa rather late in preliminary design. To get there, thedesigner conducts a search during which intenseidea-generation takes place; many of these ideasconcern partial problems and not necessarily theentire entity that is being targeted. This is the phasein which sketching excels as a yet-unbeatable mode ofrepresentation. Sketching serves the same purpose asprototypes later in the process—feedback and evalu-ation. Unbeatable, because no other mode of repre-sentation—including various digital modes—equalsrapid manual sketching in speed, ﬂexibility, toleranceto inaccuracy, lack of scale and incompletion, andcapability for reversibility and transformation at anymoment. Because sketching is relatively free ofrules, very fast, and not always pre-meditated, theemerging sketches can surprise the designer and offeropportunities for new interpretations—and, indeed,for unexpected discoveries."
e44,2969,"ered as an overt exploratory activity, and it is also akind of embodiment in which forms and shapes areﬁrst represented (see below). All three modes of rep-resentation, as described by Kaufmann, overlap eachother—that is, most representations are compositeand consist of at least two modes of representationthat act in tandem. Shifting between representationalmodes facilitates ﬂexibility, thus enhancing the cre-ative potential of the design activity, by allowingalternating modes of reasoning such as ideation andevaluation, association and analysis, divergence andconvergence."
e44,3294,"There is evidence that being able to interpretone’s own scribbles is an innate human ability. Evenvery young children, aged three and younger, inter- pret portions of their own scribbles under certain circumstances, while they do not interpret others’scribbles. When design students master the rulesof orthogonal projections and the skill of producing"
e44,3428,she ji
e44,3658,"4  Marnina Herrmann and Gabriela Goldschmidt, “Thinking aboutDesign Thinking: A Comparative Study of Design and BusinessTexts,” in ICoRD’13: Global Product Development, Part 1 , ed.Amaresh Chakrabarti and Raghu V. Prakash (New Delhi: SpringerIndia, 2013), 29–40, DOI: https://doi.org/10.1007/978-81-322-1050-4 ."
e44,3744,"6 John Z. Langrish, “The Design Methods Movement: From Opti-mism to Darwinism,” in Proceedings of DRS2016: Design + Research+ Society: Future-Focused Thinking vol. 8, ed. Peter Lloyd and ErikBohemia (London: Design Research Society, 2016), 51–64, availableat http://www.drs2016.org/222/ ."
e44,3797,"7  Gabriela Goldschmidt and Ekaterina Klevitsky, “Graphic Repre-"
e44,3807,"sentation as Reconstructive Memory: Stirling’s German MuseumProjects,” in Design Representation , ed. Gabriela Goldschmidt and William L. Porter (London: Springer Science and Business Media,2004), 37–61."
e44,3859,In Conclusion
e44,4838,"Developing Whole NewPerspectives:Change, Creativity, and Process Philosophy"
e44,5161,she ji
e47,1444,2. Experimental
e47,3659,4. Conclusions
e48,1887,Temperature ( C) Pressure (bar) Power (%) Ramp (min) Time (min)
e49,1553,Identiﬁcation Description
e5,1109,ﺔﻣﺪﻘﻤﻟﺍ 1
e5,1416,2
e5,1417,ﺔﺳﺍﺭﺪﻟﺍ ﺔﻠﻜﺸﻣ
e5,1838,ﺔﺳﺍﺭﺪﻟﺍ ﺔﻴﻤﻫﺃ 3
e5,2021,ﺕﺎﻧﺎﻴﺒﻟﺍ ﻞﻴﻠﺤﺗﻭ ﺕﺎﻣﻮﻠﻌﻤﻟﺍ ﻊﻤﺟﻭ ﺔﻴﺠﻬﻨﻤﻟﺍ 4
e5,4492,ﺔﻤﺗﺎﺨﻟﺍ 5
e5,4807,ﻊﺟﺍﺮﻤﻟﺍ
e50,2890,4.88 (cid:3) 10 3.2 (cid:3) 10 0.99254.29.4
e6,949,2. Experimental
e6,1556,3. Results and discussion
e6,3104,4. Conclusions
e7,1301,2. Experimental
e8,502,1 Introduction
e8,1237,2. Experimental
e8,1496,3. Results and discussion
e8,3661,4. Conclusions
e9,471,1 Introduction
e9,1023,2. Materials and methods
e9,1465,3. Results and discussion
e9,2743,4. Conclusions
